,state,county_and_city,censusIncome,B19013_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E
43,Illinois,Will County,"                                                    B19013_001E  B23025_002E  \
Will County, Illinois: Summary level: 050, stat...        90134       367247   

                                                    B23025_003E  B23025_004E  \
Will County, Illinois: Summary level: 050, stat...       367130       353050   

                                                    B23025_005E  B23025_006E  \
Will County, Illinois: Summary level: 050, stat...        14080          117   

                                                    B23025_007E  
Will County, Illinois: Summary level: 050, stat...       176366  ",90134,367247.0,367130.0,353050.0,14080.0,117.0,176366.0
44,Illinois,Williamson County,"                                                    B19013_001E  B23025_002E  \
Williamson County, Illinois: Summary level: 050...        58097        32188   

                                                    B23025_003E  B23025_004E  \
Williamson County, Illinois: Summary level: 050...        31999        30809   

                                                    B23025_005E  B23025_006E  \
Williamson County, Illinois: Summary level: 050...         1190          189   

                                                    B23025_007E  
Williamson County, Illinois: Summary level: 050...        21609  ",58097,32188.0,31999.0,30809.0,1190.0,189.0,21609.0
45,Missouri,Cape Girardeau County,"                                                    B19013_001E  B23025_002E  \
Cape Girardeau County, Missouri: Summary level:...        57908        42334   

                                                    B23025_003E  B23025_004E  \
Cape Girardeau County, Missouri: Summary level:...        42269        40728   

                                                    B23025_005E  B23025_006E  \
Cape Girardeau County, Missouri: Summary level:...         1541           65   

                                                    B23025_007E  
Cape Girardeau County, Missouri: Summary level:...        22037  ",57908,42334.0,42269.0,40728.0,1541.0,65.0,22037.0
46,Oklahoma,Payne County,"                                                    B19013_001E  B23025_002E  \
Payne County, Oklahoma: Summary level: 050, sta...        41272        38306   

                                                    B23025_003E  B23025_004E  \
Payne County, Oklahoma: Summary level: 050, sta...        38195        36962   

                                                    B23025_005E  B23025_006E  \
Payne County, Oklahoma: Summary level: 050, sta...         1233          111   

                                                    B23025_007E  
Payne County, Oklahoma: Summary level: 050, sta...        29169  ",41272,38306.0,38195.0,36962.0,1233.0,111.0,29169.0
47,Oklahoma,Pottawatomie County,"                                                    B19013_001E  B23025_002E  \
Pottawatomie County, Oklahoma: Summary level: 0...        53511        32767   

                                                    B23025_003E  B23025_004E  \
Pottawatomie County, Oklahoma: Summary level: 0...        32641        30858   

                                                    B23025_005E  B23025_006E  \
Pottawatomie County, Oklahoma: Summary level: 0...         1783          126   

                                                    B23025_007E  
Pottawatomie County, Oklahoma: Summary level: 0...        24848  ",53511,32767.0,32641.0,30858.0,1783.0,126.0,24848.0
48,Oklahoma,Creek County,"                                                    B19013_001E  B23025_002E  \
Creek County, Oklahoma: Summary level: 050, sta...        54969        32179   

                                                    B23025_003E  B23025_004E  \
Creek County, Oklahoma: Summary level: 050, sta...        32179        31212   

                                                    B23025_005E  B23025_006E  \
Creek County, Oklahoma: Summary level: 050, sta...          967            0   

                                                    B23025_007E  
Creek County, Oklahoma: Summary level: 050, sta...        24567  ",54969,32179.0,32179.0,31212.0,967.0,0.0,24567.0
49,Oklahoma,Oklahoma County,"                                                    B19013_001E  B23025_002E  \
Oklahoma County, Oklahoma: Summary level: 050, ...        56235       400720   

                                                    B23025_003E  B23025_004E  \
Oklahoma County, Oklahoma: Summary level: 050, ...       395025       378230   

                                                    B23025_005E  B23025_006E  \
Oklahoma County, Oklahoma: Summary level: 050, ...        16795         5695   

                                                    B23025_007E  
Oklahoma County, Oklahoma: Summary level: 050, ...       216460  ",56235,400720.0,395025.0,378230.0,16795.0,5695.0,216460.0
50,Oklahoma,Rogers County,"                                                    B19013_001E  B23025_002E  \
Rogers County, Oklahoma: Summary level: 050, st...        66132        47376   

                                                    B23025_003E  B23025_004E  \
Rogers County, Oklahoma: Summary level: 050, st...        47350        45878   

                                                    B23025_005E  B23025_006E  \
Rogers County, Oklahoma: Summary level: 050, st...         1472           26   

                                                    B23025_007E  
Rogers County, Oklahoma: Summary level: 050, st...        26240  ",66132,47376.0,47350.0,45878.0,1472.0,26.0,26240.0
51,Oklahoma,Cleveland County,"                                                    B19013_001E  B23025_002E  \
Cleveland County, Oklahoma: Summary level: 050,...        64290       151246   

                                                    B23025_003E  B23025_004E  \
Cleveland County, Oklahoma: Summary level: 050,...       149299       143135   

                                                    B23025_005E  B23025_006E  \
Cleveland County, Oklahoma: Summary level: 050,...         6164         1947   

                                                    B23025_007E  
Cleveland County, Oklahoma: Summary level: 050,...        80246  ",64290,151246.0,149299.0,143135.0,6164.0,1947.0,80246.0
52,Missouri,St. Charles County,"                                                    B19013_001E  B23025_002E  \
St. Charles County, Missouri: Summary level: 05...        89146       218661   

                                                    B23025_003E  B23025_004E  \
St. Charles County, Missouri: Summary level: 05...       218405       213586   

                                                    B23025_005E  B23025_006E  \
St. Charles County, Missouri: Summary level: 05...         4819          256   

                                                    B23025_007E  
St. Charles County, Missouri: Summary level: 05...       100484  ",89146,218661.0,218405.0,213586.0,4819.0,256.0,100484.0
53,Oregon,Marion County,"                                                    B19013_001E  B23025_002E  \
Marion County, Oregon: Summary level: 050, stat...        64306       166912   

                                                    B23025_003E  B23025_004E  \
Marion County, Oregon: Summary level: 050, stat...       166293       155541   

                                                    B23025_005E  B23025_006E  \
Marion County, Oregon: Summary level: 050, stat...        10752          619   

                                                    B23025_007E  
Marion County, Oregon: Summary level: 050, stat...       106178  ",64306,166912.0,166293.0,155541.0,10752.0,619.0,106178.0
54,Oregon,Douglas County,"                                                    B19013_001E  B23025_002E  \
Douglas County, Oregon: Summary level: 050, sta...        48585        48685   

                                                    B23025_003E  B23025_004E  \
Douglas County, Oregon: Summary level: 050, sta...        48515        45270   

                                                    B23025_005E  B23025_006E  \
Douglas County, Oregon: Summary level: 050, sta...         3245          170   

                                                    B23025_007E  
Douglas County, Oregon: Summary level: 050, sta...        43561  ",48585,48685.0,48515.0,45270.0,3245.0,170.0,43561.0
55,Oregon,Polk County,"                                                    B19013_001E  B23025_002E  \
Polk County, Oregon: Summary level: 050, state:...        72914        41775   

                                                    B23025_003E  B23025_004E  \
Polk County, Oregon: Summary level: 050, state:...        41636        39778   

                                                    B23025_005E  B23025_006E  \
Polk County, Oregon: Summary level: 050, state:...         1858          139   

                                                    B23025_007E  
Polk County, Oregon: Summary level: 050, state:...        27201  ",72914,41775.0,41636.0,39778.0,1858.0,139.0,27201.0
56,Oregon,Deschutes County,"                                                    B19013_001E  B23025_002E  \
Deschutes County, Oregon: Summary level: 050, s...        71643       103046   

                                                    B23025_003E  B23025_004E  \
Deschutes County, Oregon: Summary level: 050, s...       103046        96972   

                                                    B23025_005E  B23025_006E  \
Deschutes County, Oregon: Summary level: 050, s...         6074            0   

                                                    B23025_007E  
Deschutes County, Oregon: Summary level: 050, s...        60537  ",71643,103046.0,103046.0,96972.0,6074.0,0.0,60537.0
57,Texas,Tarrant County,"                                                    B19013_001E  B23025_002E  \
Tarrant County, Texas: Summary level: 050, stat...        70139      1099635   

                                                    B23025_003E  B23025_004E  \
Tarrant County, Texas: Summary level: 050, stat...      1096037      1048084   

                                                    B23025_005E  B23025_006E  \
Tarrant County, Texas: Summary level: 050, stat...        47953         3598   

                                                    B23025_007E  
Tarrant County, Texas: Summary level: 050, stat...       519421  ",70139,1099635.0,1096037.0,1048084.0,47953.0,3598.0,519421.0
